JD;Magnitude;ErreurMagnitude
2461210.38616;13.845;0.004
2461210.38774;13.856;0.004
2461210.38931;13.857;0.004
2461210.39094;13.868;0.004
2461210.39252;13.882;0.004
2461210.39409;13.89;0.004
2461210.39573;13.894;0.004
2461210.3973;13.894;0.004
2461210.39888;13.909;0.004
2461210.40045;13.907;0.004
2461210.40203;13.921;0.004
2461210.4036;13.92;0.004
2461210.40517;13.926;0.004
2461210.40675;13.936;0.004
2461210.40832;13.943;0.004
2461210.4099;13.952;0.004
2461210.41147;13.946;0.004
2461210.41305;13.954;0.004
2461210.41462;13.962;0.004
2461210.4162;13.979;0.004
2461210.41777;13.989;0.004
2461210.41935;13.989;0.004
2461210.42092;13.995;0.004
2461210.4225;14.001;0.004
2461210.42407;14.008;0.004
2461210.42564;14.018;0.004
2461210.42722;14.004;0.004
2461210.42879;13.999;0.004
2461210.43037;14.015;0.004
2461210.43194;14.031;0.004
2461210.43352;14.017;0.004
2461210.43509;14.024;0.004
2461210.43667;14.031;0.004
2461210.43824;14.014;0.004
2461210.43982;14.019;0.004
2461210.44139;14.042;0.004
2461210.44297;14.029;0.004
2461210.44454;14.034;0.004
2461210.44612;14.027;0.004
2461210.44769;14.02;0.004
2461210.44933;14.023;0.004
2461210.4509;14.026;0.004
2461210.45248;14.022;0.004
2461210.45405;14.026;0.004
2461210.45563;14.02;0.004
2461210.4572;14.022;0.004
2461210.45877;14.017;0.004
2461210.46041;14.014;0.004
2461210.46199;14.012;0.004
2461210.46356;14.018;0.004
2461210.46514;14.001;0.004
2461210.46671;14.022;0.004
2461210.46828;14.016;0.004
2461210.46986;14.016;0.004
2461210.47144;14.012;0.004
2461210.47301;14.001;0.004
2461210.47459;14.009;0.004
2461210.47616;13.998;0.004
2461210.47773;14.0;0.004
2461210.47931;14.008;0.004
2461210.48088;13.995;0.004
2461210.48246;13.999;0.004
2461210.48598;13.985;0.004
2461210.48809;13.98;0.004
2461210.49026;13.979;0.004
2461210.49237;13.965;0.004
2461210.49394;13.97;0.004
2461210.49552;13.958;0.004
2461210.49709;13.954;0.004
2461210.49867;13.951;0.004
2461210.50024;13.934;0.004
2461210.50194;13.924;0.004
2461210.50352;13.927;0.004
2461210.50509;13.916;0.004
2461210.50667;13.893;0.004
2461210.50824;13.889;0.004
2461210.50982;13.874;0.004
2461210.51139;13.864;0.004
2461210.51303;13.84;0.004
2461210.5146;13.826;0.004
2461210.51618;13.807;0.004
2461210.51775;13.792;0.004
2461210.51933;13.768;0.004
2461210.5209;13.753;0.004
2461210.52248;13.725;0.004
2461210.52405;13.705;0.004
2461210.52563;13.685;0.004
2461210.52721;13.668;0.004
2461210.52884;13.652;0.004
2461210.53042;13.629;0.004
2461210.53199;13.612;0.004
2461210.53357;13.6;0.004
2461210.53521;13.58;0.003
2461210.53678;13.572;0.003
2461210.53842;13.559;0.003
2461210.54;13.556;0.003
2461210.54157;13.55;0.003
2461210.54315;13.545;0.003
2461210.54472;13.552;0.003
2461210.5463;13.542;0.003
2461210.54787;13.55;0.003
2461210.54945;13.543;0.003
2461210.55102;13.559;0.003
2461210.55424;13.548;0.003
2461210.55581;13.547;0.003
2461210.55739;13.55;0.003
2461210.55896;13.546;0.003
2461210.5606;13.544;0.003
2461210.56217;13.539;0.003
2461210.56375;13.53;0.003
2461210.56539;13.532;0.003
2461210.56696;13.526;0.003
2461210.56854;13.524;0.003
2461210.57017;13.521;0.003
2461210.57175;13.514;0.003
2461210.57332;13.522;0.003
2461210.5749;13.518;0.003
2461210.57647;13.516;0.003
2461210.57805;13.518;0.003
2461210.57963;13.522;0.003
2461210.5812;13.517;0.003
