JD;Magnitude;ErreurMagnitude
2461219.37937;13.551;0.005
2461219.38095;13.556;0.005
2461219.38253;13.554;0.005
2461219.3841;13.561;0.005
2461219.38568;13.563;0.005
2461219.38725;13.565;0.005
2461219.38882;13.57;0.005
2461219.3904;13.572;0.005
2461219.39197;13.572;0.005
2461219.39355;13.59;0.005
2461219.39512;13.581;0.005
2461219.39669;13.596;0.005
2461219.39827;13.591;0.005
2461219.39984;13.599;0.005
2461219.40142;13.6;0.005
2461219.40299;13.61;0.005
2461219.40457;13.607;0.005
2461219.40614;13.619;0.005
2461219.40771;13.62;0.005
2461219.40929;13.626;0.005
2461219.41086;13.637;0.005
2461219.41244;13.636;0.005
2461219.41401;13.649;0.005
2461219.41559;13.643;0.005
2461219.41716;13.645;0.005
2461219.41874;13.656;0.005
2461219.42031;13.643;0.005
2461219.42189;13.658;0.005
2461219.42346;13.661;0.005
2461219.42504;13.671;0.005
2461219.42661;13.685;0.005
2461219.42819;13.672;0.005
2461219.42976;13.686;0.005
2461219.43133;13.683;0.005
2461219.43291;13.691;0.005
2461219.43448;13.691;0.005
2461219.43606;13.698;0.005
2461219.43763;13.704;0.005
2461219.43921;13.721;0.005
2461219.44078;13.734;0.005
2461219.44236;13.717;0.005
2461219.44393;13.718;0.005
2461219.44551;13.73;0.005
2461219.44709;13.74;0.005
2461219.44866;13.742;0.005
2461219.45023;13.752;0.005
2461219.45181;13.758;0.005
2461219.45338;13.765;0.005
2461219.45496;13.767;0.005
2461219.45653;13.766;0.005
2461219.45811;13.771;0.005
2461219.46151;13.789;0.005
2461219.46907;13.814;0.005
2461219.47065;13.807;0.005
2461219.47222;13.824;0.005
2461219.4738;13.842;0.005
2461219.47537;13.851;0.005
2461219.47695;13.854;0.005
2461219.47852;13.858;0.005
2461219.4801;13.855;0.005
2461219.48167;13.869;0.005
2461219.48324;13.865;0.005
2461219.48482;13.883;0.005
2461219.48639;13.898;0.005
2461219.48803;13.905;0.005
2461219.4896;13.904;0.006
2461219.49118;13.913;0.006
2461219.49433;13.919;0.006
2461219.49591;13.936;0.006
2461219.49748;13.931;0.006
2461219.49906;13.948;0.006
2461219.50063;13.943;0.006
2461219.5022;13.949;0.006
2461219.50378;13.96;0.006
2461219.50535;13.972;0.006
2461219.50693;13.962;0.006
2461219.50851;13.975;0.005
2461219.51008;13.978;0.006
2461219.51166;13.984;0.006
2461219.51323;13.988;0.006
2461219.51481;13.993;0.006
2461219.51639;13.993;0.006
2461219.51796;13.997;0.006
2461219.51954;13.988;0.006
2461219.52111;14.005;0.006
2461219.52269;14.009;0.006
2461219.52426;13.999;0.006
2461219.52584;14.003;0.006
2461219.52741;14.004;0.006
2461219.52898;14.005;0.006
2461219.53056;14.015;0.006
2461219.53213;14.015;0.006
2461219.53377;14.02;0.006
2461219.53535;14.004;0.006
2461219.53692;14.01;0.006
2461219.5385;14.015;0.006
2461219.54007;14.011;0.006
2461219.54165;14.014;0.006
2461219.54322;14.012;0.006
2461219.5448;14.008;0.006
2461219.54637;14.017;0.006
2461219.54795;14.01;0.006
2461219.54952;14.016;0.006
2461219.5511;14.012;0.006
2461219.55268;14.006;0.006
2461219.55425;14.011;0.005
2461219.55583;14.006;0.005
2461219.5574;14.004;0.005
2461219.55898;14.012;0.006
2461219.56055;14.011;0.006
2461219.56213;14.009;0.006
2461219.5637;14.003;0.005
2461219.56528;13.998;0.005
2461219.56692;13.994;0.005
2461219.56849;13.999;0.005
2461219.57007;13.992;0.005
2461219.57164;13.989;0.005
2461219.57322;13.989;0.005
2461219.57479;13.993;0.005
2461219.57637;13.985;0.005
